timestamp,all_rules,all_weights,test_bars,return_pct,max_drawdown_pct,sharpe_ratio,monthly_return_pct,strategy_hash
2025-07-14 22:56:40,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[0.20850432201202906, 0.023975854466329105, -0.29668014266425513, -0.21452770207723515, -0.7641451803392976, -0.331878965922777, -0.6541359581544057, -1.6771781417170555, -0.2985259741008237, -0.5425653441910963, -0.3857056333793514, 0.9627972156128264, -0.6128941407039961, 0.812296999856045, -0.031176123412136603, -0.7129616686660611]",9522,133.22,-4.76,9.515,20.15,e11a29a24a4a
2025-07-15 02:22:39,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[-0.8762294674312225, -0.5514393796941848, -0.8872817921729763, -0.9829498395751726, -0.2705872748117597, -0.6947534442398549, -0.691469448121822, -5.802787676449386, -0.7903424357341058, 0.40559820041514993, -0.43326927466588017, -0.5177486265170137, -0.865331811456725, 0.061080234491182495, 0.0010170751095608388, -1.3974567055154032]",9522,135.92,-4.207,7.975,20.56,299da5875b19
2025-07-15 02:30:49,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[-0.7662794740271957, -0.9956834188534784, 0.04005184245817328, -0.334560277907594, -0.11753727898922928, -0.4303324585231685, -0.9558051513517309, -1.8675349650116384, -0.10342915125392826, -0.4782678801789586, 0.43493795515869915, 0.9443241530095545, -0.8751576922833766, -0.35160826863045824, 0.5653569175610329, -0.3563274059722601]",9522,135.01,-5.153,9.371,20.42,b8e2e71897b1
2025-07-16 03:34:50,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[-0.9129081546143136, -0.2837956091065885, -0.03596486326262682, 0.3016145040138447, -0.8210541834914697, 0.22937622178509853, -0.8928464731024146, -2.1907854008392453, 0.3697344717437463, -0.9625234476987949, -0.6006470346046824, 0.7894461375124977, -0.6514474632625289, 0.6142896235311348, -0.00792554273090107, -0.71974224281604]",9522,133.55,-4.459,9.58,20.2,bd528983d380
2025-07-16 04:34:04,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[-0.4733470139931737, -0.8505452299506169, -0.41665629050292163, 0.027086716569000968, -0.3886742832634862, -0.5181258867850176, -0.9893992126692135, -3.872465204303259, -0.8738215040157788, -0.2917512584001878, -0.7414170335287442, -0.15484687257116092, -0.7608866647327679, -0.3356006957932014, 0.629669814588002, -0.6870166734772325]",9522,134.05,-3.509,8.463,20.27,1dac788a30e1
2025-07-18 00:30:09,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[0.23331005224058576, -0.5648854122236229, 0.0065333694022067235, -0.4223676001918575, -0.7444759929394587, -0.8548810129386031, -0.8078469583808863, -2.2824311703293656, -0.6314733046015397, 0.2921608697332758, -0.6841829786717493, -0.8608211692387031, -0.30212453205914924, 0.6190989449276745, -0.3176880835030793, 1.7966479995872022]",9522,134.44,-3.901,9.09,20.33,f44776b0ae79
2025-07-18 03:29:30,"[(1, 27), (27, 27), (3, 19), (1, 27), (15, 23), (1, 27), (27, 50), (7, 27), (23, 23), (19, 50), (23, 0), (19, 50, 30), (27, 20, -20), 35, 3, 61]","[-0.3467580933637271, -0.9905408425650888, -0.992089475810974, 0.48441495118943223, -0.8552296771796921, -0.6959467704071178, -0.6691997483821712, -2.7008199218325553, 0.39319963991205475, -0.35388123637654956, -0.35622388061470533, -0.7855978893631177, 0.06283152255315483, 0.09842873418195364, -0.09639501556652785, 0.09177378720303597]",9522,133.25,-5.563,8.822,20.15,f4c062d7848c
2025-10-09 10:33:58,"[(7, 15), (7, 15), (1, 3), (11, 15), (1, 7), (15, 15), (1, 50), (5, 50), (1, 1), (50, 65), (50, 120), (50, 70, 65), (41, 120, 100), 7, 7, 23]","[-0.9466089410522469, -0.9998841482363778, -0.030484920643266022, -0.6540522099864243, -0.7052095750824205, -0.4694032037694753, 0.22100489186036154, 1.5249290671117093, 0.8978974252135277, 0.3964192241688522, 0.4235789911545125, -0.298929321037678, 0.6716853850906848, -0.013531539036525153, 0.21996337839706115, 6.536367189175463]",1257,66.12,-2.151,36.777,75.74,8ba74a02036c
